"subject" "activity" "mean_of_fBodyAccJerk_mean_X" "mean_of_fBodyAccJerk_mean_Y" "mean_of_fBodyAccJerk_mean_Z" "mean_of_fBodyAccJerk_std_X" "mean_of_fBodyAccJerk_std_Y" "mean_of_fBodyAccJerk_std_Z" "mean_of_fBodyAccMag_mean" "mean_of_fBodyAccMag_std" "mean_of_fBodyAcc_mean_X" "mean_of_fBodyAcc_mean_Y" "mean_of_fBodyAcc_mean_Z" "mean_of_fBodyAcc_std_X" "mean_of_fBodyAcc_std_Y" "mean_of_fBodyAcc_std_Z" "mean_of_fBodyBodyAccJerkMag_mean" "mean_of_fBodyBodyAccJerkMag_std" "mean_of_fBodyBodyGyroJerkMag_mean" "mean_of_fBodyBodyGyroJerkMag_std" "mean_of_fBodyBodyGyroMag_mean" "mean_of_fBodyBodyGyroMag_std" "mean_of_fBodyGyro_mean_X" "mean_of_fBodyGyro_mean_Y" "mean_of_fBodyGyro_mean_Z" "mean_of_fBodyGyro_std_X" "mean_of_fBodyGyro_std_Y" "mean_of_fBodyGyro_std_Z" "mean_of_tBodyAccJerkMag_mean" "mean_of_tBodyAccJerkMag_std" "mean_of_tBodyAccJerk_mean_X" "mean_of_tBodyAccJerk_mean_Y" "mean_of_tBodyAccJerk_mean_Z" "mean_of_tBodyAccJerk_std_X" "mean_of_tBodyAccJerk_std_Y" "mean_of_tBodyAccJerk_std_Z" "mean_of_tBodyAccMag_mean" "mean_of_tBodyAccMag_std" "mean_of_tBodyAcc_mean_X" "mean_of_tBodyAcc_mean_Y" "mean_of_tBodyAcc_mean_Z" "mean_of_tBodyAcc_std_X" "mean_of_tBodyAcc_std_Y" "mean_of_tBodyAcc_std_Z" "mean_of_tBodyGyroJerkMag_mean" "mean_of_tBodyGyroJerkMag_std" "mean_of_tBodyGyroJerk_mean_X" "mean_of_tBodyGyroJerk_mean_Y" "mean_of_tBodyGyroJerk_mean_Z" "mean_of_tBodyGyroJerk_std_X" "mean_of_tBodyGyroJerk_std_Y" "mean_of_tBodyGyroJerk_std_Z" "mean_of_tBodyGyroMag_mean" "mean_of_tBodyGyroMag_std" "mean_of_tBodyGyro_mean_X" "mean_of_tBodyGyro_mean_Y" "mean_of_tBodyGyro_mean_Z" "mean_of_tBodyGyro_std_X" "mean_of_tBodyGyro_std_Y" "mean_of_tBodyGyro_std_Z" "mean_of_tGravityAccMag_mean" "mean_of_tGravityAccMag_std" "mean_of_tGravityAcc_mean_X" "mean_of_tGravityAcc_mean_Y" "mean_of_tGravityAcc_mean_Z" "mean_of_tGravityAcc_std_X" "mean_of_tGravityAcc_std_Y" "mean_of_tGravityAcc_std_Z"
"1" "LAYING" -0.71517800952 -0.7538429268 -0.77982531912 -0.80473269476 -0.8010356674 -0.76391714766 -0.652383939342 -0.660114060384 -0.61649684236 -0.65876470432 -0.646025739722 -0.68252735746 -0.703731689112 -0.708711916192 -0.67608779333 -0.605125380356 -0.686714682792 -0.69291385428 -0.660515726552 -0.636406428628 -0.77724905604 -0.76031403616 -0.72761707446 -0.6987986917298 -0.701840189914 -0.68133665952 -0.69544156588 -0.70902819562 -0.735726590266 -0.67948573648 -0.693904509978 -0.66758721198 -0.67367101564 -0.636946905222 -0.794248419178 -0.76694163768 -0.7347528276 -0.74472299694 -0.75422533664 -0.74144500156 -0.75490568312 -0.7767033922306 -0.6130515516 -0.62681932918 -0.761349359366 -0.801170291984 -0.76694990204 -0.72978301804 -0.75185690242 -0.7728761566726 -0.702877062886 -0.655574827608 -0.67191700842 -0.666057782606 -0.685394989544 -0.6950209489214 -0.7449836512174 -0.7222166947 -0.76247459238 -0.755520776114 -0.74999017854 -0.754801473116 -0.7351904074032 -0.748808541808 -0.76009106756 -0.7665931220306
"1" "SITTING" -0.763584094719149 -0.763795676668085 -0.740680082182979 -0.696151279924043 -0.673367089568085 -0.691718745706383 -0.813552334687234 -0.810098866638298 -0.847811932057447 -0.86610469856383 -0.86605268922766 -0.804307042170213 -0.808185738802128 -0.786030425857447 -0.857169671851064 -0.877996774308511 -0.832703251376596 -0.839613244829787 -0.825266669446808 -0.833185210468085 -0.71611479826383 -0.758224896148936 -0.76283477946383 -0.785124679553192 -0.762327397893617 -0.790745920391489 -0.793908095102128 -0.789875411502128 -0.774214273574468 -0.822581954818298 -0.832082533559575 -0.824307160131915 -0.830347747382979 -0.85620255293617 -0.674021283046809 -0.71232574453617 -0.809685000634043 -0.781918130644681 -0.733527951865957 -0.723267330523404 -0.733596436404255 -0.738476759021277 -0.832131345609149 -0.845853191740426 -0.74448479093617 -0.743740414206383 -0.721359105638298 -0.712089693617021 -0.692073038042553 -0.668951553819149 -0.807683904638298 -0.836115887738298 -0.846829136212766 -0.837116955587234 -0.827941945880851 -0.812685249191489 -0.790857622638298 -0.764934698519149 -0.733180294418511 -0.763541909529787 -0.75247552286383 -0.751443237629787 -0.728747907738298 -0.70961432767234 -0.725190540776596 -0.746509453374468
"1" "STANDING" -0.788101431271698 -0.786507785283019 -0.786053987281132 -0.803310462539245 -0.827103533320755 -0.821707510913208 -0.841279589778679 -0.841343259528302 -0.81991369845283 -0.800803707943396 -0.779458284656604 -0.783983597320755 -0.768050810226415 -0.765289075922642 -0.840628907711321 -0.801818542113208 -0.784569981573585 -0.78038841064717 -0.818435178564151 -0.803156243886792 -0.826382913862264 -0.824506183988491 -0.826271538156849 -0.821043896990566 -0.839795101841226 -0.838914651571698 -0.834977132269811 -0.837256886316981 -0.835151114620755 -0.829891562330189 -0.827100750549623 -0.831821584811321 -0.813748613660377 -0.800116841049057 -0.832562750371698 -0.834381109001887 -0.766298788874528 -0.783024976716981 -0.795591965509434 -0.809829967515094 -0.79345809920566 -0.789761962645283 -0.818970406490566 -0.818150213749057 -0.773726171107547 -0.776861693741472 -0.780340732328868 -0.807110880818868 -0.816514655275472 -0.818239701783019 -0.825890443516981 -0.820553712701887 -0.799053083509434 -0.776585786169811 -0.802760030998113 -0.798857206320755 -0.796968230428302 -0.797107087196226 -0.830452018460377 -0.836384806577358 -0.792513168113208 -0.793008756486792 -0.816247039535849 -0.829446050384906 -0.835160190283019 -0.839656173122642
"1" "WALKING" -0.237801666250526 -0.224412862842105 -0.213386631230526 -0.224846799294737 -0.224066033887368 -0.248116977157895 -0.238402995821053 -0.23962491886 -0.225130877188421 -0.226548293871579 -0.233790504590526 -0.232578891126316 -0.229724962338947 -0.229495636148421 -0.237014585909474 -0.247901442503158 -0.244692847094737 -0.244196905375789 -0.251874362334737 -0.253715710666316 -0.243734586332632 -0.226346015804211 -0.238079703384211 -0.243009798810526 -0.238183431806526 -0.233555362474737 -0.203672687355789 -0.224132942491579 -0.223236019252632 -0.229826993105263 -0.238555763561053 -0.226278911031579 -0.236829886589474 -0.239575470066747 -0.230767129957895 -0.213247394795263 -0.235977758208842 -0.228403349733684 -0.215298622037895 -0.224428828217895 -0.211836412061158 -0.201658793060421 -0.212948197296842 -0.209334502324211 -0.254244222136842 -0.23365000638 -0.239031547297895 -0.252781675341053 -0.239883919463158 -0.225981198665263 -0.234140426101895 -0.224648839749474 -0.226419965688526 -0.239673437300105 -0.234987236038947 -0.229795993232632 -0.232726513726316 -0.240169561209895 -0.204027397332632 -0.215385497806316 -0.212599374863158 -0.219200849751579 -0.222179107332632 -0.227655263868421 -0.234668939506316 -0.210963727331579
"1" "WALKING_DOWNSTAIRS" -0.181680893597959 -0.163676554479592 -0.179109568322449 -0.136746906626531 -0.140323734973469 -0.168333433593878 -0.172168773459184 -0.157052179606122 -0.281065822914286 -0.296236290746939 -0.258449263142857 -0.223406107141408 -0.255744056346939 -0.250973006942857 -0.155040437644898 -0.168212104744898 -0.162749300736735 -0.187786007714286 -0.160288340283673 -0.154650937083673 -0.17786540407551 -0.143525229 -0.169180303030612 -0.165116357071429 -0.128609880363265 -0.149400290795918 -0.244992373904082 -0.244678002718367 -0.157958012489796 -0.144815862673469 -0.159597917879592 -0.138252520285714 -0.159863630414286 -0.18694034564898 -0.16917636724898 -0.191782901061224 -0.182662003819388 -0.170698043318367 -0.191847221704082 -0.194001685389184 -0.200141584830612 -0.212314509087755 -0.270733980859184 -0.242369427489796 -0.181850832632653 -0.158721447511224 -0.171978849163265 -0.153980621338776 -0.142876217993878 -0.186947345071429 -0.271693164469388 -0.28514929516 -0.197763302365306 -0.163876695622449 -0.161748716985714 -0.203865214055102 -0.209361495142857 -0.172519746514286 -0.215288865595918 -0.245631999693878 -0.181112279240816 -0.207787078495918 -0.16248153484898 -0.144147694330612 -0.165739967302041 -0.190305601677551
"1" "WALKING_UPSTAIRS" -0.339550311773585 -0.347857779964151 -0.372445260622641 -0.36753130955283 -0.364690648 -0.353124085396226 -0.350067295207547 -0.333772923337736 -0.329880089681132 -0.314984610890566 -0.327378878249057 -0.345286266943396 -0.343029268383019 -0.323681300245283 -0.331392630873585 -0.340290434233962 -0.373642922433962 -0.383313760150943 -0.36369795009434 -0.377785625264151 -0.354515425773585 -0.35349029414717 -0.332279498339623 -0.333166308460377 -0.34701886209434 -0.354520219037736 -0.348907094830189 -0.305369502075472 -0.387575900603774 -0.359846509778679 -0.394579224656604 -0.38993085745283 -0.350855161301887 -0.361780423313208 -0.388980164022642 -0.376475051811321 -0.385470269684906 -0.377907080798113 -0.363391327520755 -0.362487844162264 -0.370749935983019 -0.364458227683019 -0.313433556166415 -0.321461446396226 -0.38491688655283 -0.353302632113208 -0.339475207111321 -0.344675783666038 -0.356276950749057 -0.38302358754717 -0.327534900945283 -0.329965300754717 -0.377638064226415 -0.370346742137736 -0.388092399503585 -0.375757794113208 -0.356991868918868 -0.375707419669811 -0.370287131615094 -0.360102114624528 -0.364797584164151 -0.349271716032075 -0.360828398892453 -0.3916731566 -0.38470304190566 -0.369293319849057
"10" "LAYING" -0.778575695 -0.75413144055 -0.762716667725862 -0.768411918137931 -0.783357207589655 -0.804864263172414 -0.801438551810345 -0.78124948687931 -0.766339383028276 -0.762296029427586 -0.801110691655172 -0.778990327337931 -0.789460963096552 -0.78982136327069 -0.773360651144828 -0.808446691534483 -0.820982458758621 -0.79163819402931 -0.820276595017241 -0.823873332306897 -0.796027901603448 -0.795295012256897 -0.799314059 -0.797133256612069 -0.788625885231034 -0.788822890115517 -0.82029600587931 -0.817477351722414 -0.779652011141379 -0.793749029689655 -0.80563279237931 -0.780125296155172 -0.791448025672414 -0.773934489610345 -0.821027969775862 -0.822864763465517 -0.762046892590517 -0.748865741825862 -0.74721323902069 -0.755712561652931 -0.779207646955172 -0.771426828493103 -0.792144062881034 -0.783687312536207 -0.780568879275862 -0.791322043805172 -0.791985961087414 -0.766589622617241 -0.769145004698276 -0.780704267 -0.814255802925517 -0.786396415293103 -0.778665020473103 -0.755421146775862 -0.736248313363793 -0.740382596122414 -0.731743109846552 -0.763902317886207 -0.842215614008621 -0.836742297204655 -0.787536667418966 -0.79777207485 -0.777199552637931 -0.780014946241379 -0.792914422663793 -0.796441132075862
"10" "SITTING" -0.782078233675926 -0.796438903575926 -0.79739794412963 -0.803407912288889 -0.805874109325926 -0.797557136127963 -0.792515400594444 -0.799680201805556 -0.82325373787037 -0.809726533592593 -0.775153091555556 -0.731940502037037 -0.751113472512963 -0.766135012624074 -0.785786201783333 -0.782873173026667 -0.77036233267963 -0.798563820679259 -0.773164726005556 -0.743721922431296 -0.764934321062963 -0.775049956719074 -0.770419408022222 -0.750269646333333 -0.779209424312963 -0.796657889492593 -0.773426202796296 -0.765456810203704 -0.779391731822222 -0.77930782712963 -0.763741435857407 -0.779940265383333 -0.77096101485 -0.800578653725926 -0.794353511181481 -0.793213299351852 -0.827063743414815 -0.839873765301852 -0.851374344094444 -0.820233889351852 -0.795753621494444 -0.810792499018518 -0.798771407037037 -0.816117303444444 -0.803457470861111 -0.808451088912963 -0.795564144455556 -0.801396237238889 -0.782403091402963 -0.787449377862963 -0.769648110055556 -0.792565003009259 -0.804546967637037 -0.832370143055556 -0.829095483259259 -0.838257884518519 -0.8293908852 -0.815339090685185 -0.768671211390741 -0.767038211042593 -0.780346972981481 -0.784198238037037 -0.79563046932037 -0.772324953296296 -0.767235269327778 -0.77816025415
"10" "STANDING" -0.799110153819773 -0.7753786431 -0.784851164227273 -0.787596715079545 -0.756741102386364 -0.759254312622727 -0.789522016295455 -0.7767087525 -0.718018832809091 -0.750711094659091 -0.766728579818182 -0.782007453363636 -0.782956038454545 -0.774288711577273 -0.762108332568182 -0.757611755540909 -0.79571960025 -0.795016509704545 -0.778754925413636 -0.800065556409091 -0.76049535215 -0.752691936779545 -0.771537234136364 -0.774407331581818 -0.7843826215 -0.786607048872727 -0.76959717665 -0.788266253852273 -0.771489073227273 -0.746675580272727 -0.765181816113636 -0.783776352863636 -0.804847824409091 -0.811430555061364 -0.807283940220455 -0.780523632813636 -0.769209650372727 -0.756495082927273 -0.753061481613636 -0.768542850168182 -0.79907920685 -0.795352466268182 -0.773763678518182 -0.748311071159091 -0.782191490840909 -0.763248366204546 -0.779069820920455 -0.795485689715909 -0.799185134931818 -0.802586321195455 -0.792609012181818 -0.765919290170455 -0.782711893022727 -0.772046890302273 -0.749629209681818 -0.737938853585227 -0.760190729431818 -0.778756196586364 -0.756251142375 -0.750126616922727 -0.785636197931818 -0.806812522 -0.802530088772727 -0.801998052090909 -0.798966758045455 -0.814433795909091
"10" "WALKING" -0.235290526548868 -0.216349189150943 -0.202790677550943 -0.221145070822642 -0.230760426603774 -0.243977782101887 -0.274996088584906 -0.267539987018868 -0.244561095301887 -0.240300702666038 -0.246365910113208 -0.230360919977358 -0.232219575522641 -0.228788258135849 -0.2334056352 -0.236693403564151 -0.223815360630189 -0.255409358603774 -0.240374004301887 -0.245794972238491 -0.255355648056604 -0.243119905879245 -0.243943302690566 -0.24643884609434 -0.253248375622642 -0.266898310792453 -0.227177912373585 -0.229217699173019 -0.242904715028302 -0.231347689735849 -0.226397251141509 -0.256975694149057 -0.261985655132076 -0.250471739490566 -0.243755711641509 -0.216032612340943 -0.223670572084906 -0.214943887811321 -0.246555797698113 -0.241797202207547 -0.218966522269811 -0.24244239690566 -0.242215816833396 -0.238434873361 -0.255310711324528 -0.2470043034 -0.258777237184906 -0.250620221630189 -0.225290994054717 -0.233873292379245 -0.223833068743396 -0.218381875909434 -0.25489305505 -0.252033230811321 -0.266866862528302 -0.263016100679245 -0.267834938981132 -0.274145368458491 -0.227464951271698 -0.229277618343396 -0.255570438016981 -0.241348864333962 -0.271839294535849 -0.241447641967925 -0.242463992949057 -0.25877608679434
